NOC,Medal,Count
ANZ,Bronze,2
ANZ,Gold,1
ANZ,Silver,2
AUT,Bronze,1
BEL,Bronze,2
BEL,Gold,1
BEL,Silver,5
BOH,Bronze,2
CAN,Bronze,10
CAN,Gold,3
CAN,Silver,3
DEN,Bronze,3
DEN,Silver,2
FIN,Bronze,3
FIN,Gold,1
FIN,Silver,1
FRA,Bronze,9
FRA,Gold,5
FRA,Silver,5
GBR,Bronze,37
GBR,Gold,56
GBR,Silver,50
GER,Bronze,5
GER,Gold,3
GER,Silver,5
GRE,Bronze,1
GRE,Silver,3
HUN,Bronze,2
HUN,Gold,3
HUN,Silver,4
ITA,Gold,2
ITA,Silver,2
NED,Bronze,2
NOR,Bronze,3
NOR,Gold,2
NOR,Silver,3
RSA,Gold,1
RSA,Silver,1
RUS,Gold,1
RUS,Silver,2
SWE,Bronze,11
SWE,Gold,8
SWE,Silver,6
USA,Bronze,12
USA,Gold,22
USA,Silver,12
