,Year,City
0,1896,Athens
151,1900,Paris
663,1904,St Louis
1133,1908,London
1937,1912,Stockholm
,1916,Cancelled
2822,1920,Antwerp
4120,1924,Paris
5004,1928,Amsterdam
5714,1932,Los Angeles
6329,1936,Berlin
,1940,Cancelled
,1944,Cancelled
7204,1948,London
8018,1952,Helsinki
8907,1956,Melbourne / Stockholm
9792,1960,Rome
10674,1964,Tokyo
11684,1968,Mexico
12715,1972,Munich
13900,1976,Montreal
15205,1980,Moscow
16592,1984,Los Angeles
18051,1988,Seoul
19597,1992,Barcelona
21302,1996,Atlanta
23161,2000,Sydney
25176,2004,Athens
27174,2008,Beijing
29216,2012,London
,2016,Rio
,2020,Tokyo
